Job Title,WorkMode,CompanyName,Rating,Reviews,DaysFrom,Min Experience,Max Experience,Min Salary,Max Salary,Skills,Locations,Qualification
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Machine Learning,Data Science,R,APICS,NLP,Artificial Intelligence,Data Management,Python",Hyderabad,Job Requirements :- 3+ Years of experience in machine learning and AI analytics.- Exper...
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Python,Predictive Modeling,R,Data Scientist,Data Management,Machine Learning,SQL,Machine",Hyderabad,"- You have at least 2 year experience, ideally within a Statistician role You possess s..."
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Work From Office,UBS India,3.9,1320,1,0,10,,,"rest,python,software development,rdbms,natural language processing,production,microsoft azure,machine learning",Mumbai,Overall Software development experience 8+years Production grade 3+ years work experien...
Data Scientist,Hybrid,Genpact,3.9,27612,4,6,11,,,"Data Science,Predictive Modeling,Decision Tree,Text Analytics,Natural Language Processing,Neural Networks,Text Mining,LLM","Hyderabad, Gurugram, Bengaluru","Furthermore, please do note that Genpact does not charge fees to process job applicatio..."
Data Analyst,Hybrid,Ifood Web Media Technology,3.9,14,5,5,8,,,"Advanced Analytics,Data Analyst,Data Analytics,HLOOKUP,Data Science,Logistic Regression,Decision Tree,VLOOKUP","Hyderabad, Chennai, Bengaluru","Highly proficient in Excel data mining, data crunching and analyzing using advanced fun..."
Data Scientist,Hybrid,Trianz,3.7,375,1,5,8,950000.0,1700000.0,"Data Science,Machine Learning,Tensorflow,GenAI,python,pyspark,Keras,LLM","Hyderabad, Bengaluru","Qualifications: . Educational Background: BE / B Tech / M Tech in Computer Science, Com..."
Data Scientist,Work From Office,Info_test_ehire Campaign,0.0,0,1,5,7,,,"AWS,Data Science,Pyspark,NLP,Data Scientist,Natural Language Processing,Machine Learning,Deep Learning","Hyderabad, Bengaluru","Skill - S rong coding experience in Python, Pyspark, Keras / tensorflow, Machine Learni..."
Data Scientist,Work From Office,Ample Softech System,4.6,51,1,0,5,600000.0,1000000.0,"and data analysis.,Machine Learning,Data Science,Deep Learning,Machine,Data analysis,Data,Science",Pune,"Data Scientist: Required Skills, Roles, and Responsibilities. Required Skills: . Techni..."
Data Scientist,Work From Office,Impelox Tech,0.0,0,1,0,1,,,"Data Science,python,tensorflow,r,data analysis,java,pytorch,machine learning",Chennai,We are seeking a motivated and passionate intern to join our AI/ML engineering team. As...
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Image Recognition,NLP,Data Scientist,Time Series Analysis,Artificial Intelligence,Data Management,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Data Scientist,NLP,Time Series Analysis,Artificial Intelligence,Data Management,Image Recognition,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Bengaluru,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Hybrid,Evalueserve,3.4,1068,1,3,8,,,"Data Science,Statistical Modeling,Python,Predictive Modeling,Logistic Regression,Science,Logistics,Statistics","Gurugram, Bengaluru, Mumbai","Preferred candidate profile . Bachelors degree or higher in statistics, mathematics, en..."
Data Scientist,Work From Office,Visa,3.9,284,1,3,7,,,"Computer science,Operations research,Business analytics,Analytical,Predictive modeling,Business solutions,Financial services,Product marketing",Bengaluru,"      To ensure that Visa s payment technology is truly available to everyone, everywhe..."
Data Scientist,Hybrid,Hexaware Technologies,3.6,5100,1,6,10,,,"R,Machine Learning,Python,Data,Machine",Bengaluru,"Required Skills and Qualifications: Bachelors or master s degree in computer science, S..."
Data Scientist,Work From Office,Info Edge,4.0,1798,5,0,3,,,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning",Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...
Data Scientist,Work From Office,IBM,4.1,20349,7,3,7,,,"data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Work From Office,Sadup Softech,4.6,24,1,6,8,,,"Data Science,BigQuery,Data Scientist,Data Management,Jupyter,LLM,Python,Science",Hyderabad,"6+ Years of Experience. . - Statics, SQL, Big query, LLM, AI, Python. - Work experience..."
Data Scientist,Work From Office,Carbynetech India Pvt Ltd,4.3,27,1,5,10,,,"Data Science,Java,NLTK,R,Elasticsearch,ELK,Scala,Image Recognition",Hyderabad,#NAME?
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Machine Learning,Data Science,R,APICS,NLP,Artificial Intelligence,Data Management,Python",Hyderabad,Job Requirements :- 3+ Years of experience in machine learning and AI analytics.- Exper...
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Python,Predictive Modeling,R,Data Scientist,Data Management,Machine Learning,SQL,Machine",Hyderabad,"- You have at least 2 year experience, ideally within a Statistician role You possess s..."
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Work From Office,UBS India,3.9,1320,1,0,10,,,"rest,python,software development,rdbms,natural language processing,production,microsoft azure,machine learning",Mumbai,Overall Software development experience 8+years Production grade 3+ years work experien...
Data Scientist,Hybrid,Genpact,3.9,27612,4,6,11,,,"Data Science,Predictive Modeling,Decision Tree,Text Analytics,Natural Language Processing,Neural Networks,Text Mining,LLM","Hyderabad, Gurugram, Bengaluru","Furthermore, please do note that Genpact does not charge fees to process job applicatio..."
Data Analyst,Hybrid,Ifood Web Media Technology,3.9,14,5,5,8,,,"Advanced Analytics,Data Analyst,Data Analytics,HLOOKUP,Data Science,Logistic Regression,Decision Tree,VLOOKUP","Hyderabad, Chennai, Bengaluru","Highly proficient in Excel data mining, data crunching and analyzing using advanced fun..."
Data Scientist,Hybrid,Trianz,3.7,375,1,5,8,950000.0,1700000.0,"Data Science,Machine Learning,Tensorflow,GenAI,python,pyspark,Keras,LLM","Hyderabad, Bengaluru","Qualifications: . Educational Background: BE / B Tech / M Tech in Computer Science, Com..."
Data Scientist,Work From Office,Info_test_ehire Campaign,0.0,0,1,5,7,,,"AWS,Data Science,Pyspark,NLP,Data Scientist,Natural Language Processing,Machine Learning,Deep Learning","Hyderabad, Bengaluru","Skill - S rong coding experience in Python, Pyspark, Keras / tensorflow, Machine Learni..."
Data Scientist,Work From Office,Ample Softech System,4.6,51,1,0,5,600000.0,1000000.0,"and data analysis.,Machine Learning,Data Science,Deep Learning,Machine,Data analysis,Data,Science",Pune,"Data Scientist: Required Skills, Roles, and Responsibilities. Required Skills: . Techni..."
Data Scientist,Work From Office,Impelox Tech,0.0,0,1,0,1,,,"Data Science,python,tensorflow,r,data analysis,java,pytorch,machine learning",Chennai,We are seeking a motivated and passionate intern to join our AI/ML engineering team. As...
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Image Recognition,NLP,Data Scientist,Time Series Analysis,Artificial Intelligence,Data Management,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Data Scientist,NLP,Time Series Analysis,Artificial Intelligence,Data Management,Image Recognition,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Bengaluru,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Hybrid,Evalueserve,3.4,1068,1,3,8,,,"Data Science,Statistical Modeling,Python,Predictive Modeling,Logistic Regression,Science,Logistics,Statistics","Gurugram, Bengaluru, Mumbai","Preferred candidate profile . Bachelors degree or higher in statistics, mathematics, en..."
Data Scientist,Work From Office,Visa,3.9,284,1,3,7,,,"Computer science,Operations research,Business analytics,Analytical,Predictive modeling,Business solutions,Financial services,Product marketing",Bengaluru,"      To ensure that Visa s payment technology is truly available to everyone, everywhe..."
Data Scientist,Hybrid,Hexaware Technologies,3.6,5100,1,6,10,,,"R,Machine Learning,Python,Data,Machine",Bengaluru,"Required Skills and Qualifications: Bachelors or master s degree in computer science, S..."
Data Scientist,Work From Office,Info Edge,4.0,1798,5,0,3,,,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning",Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...
Data Scientist,Work From Office,IBM,4.1,20349,7,3,7,,,"data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Work From Office,Sadup Softech,4.6,24,1,6,8,,,"Data Science,BigQuery,Data Scientist,Data Management,Jupyter,LLM,Python,Science",Hyderabad,"6+ Years of Experience. . - Statics, SQL, Big query, LLM, AI, Python. - Work experience..."
Data Scientist,Work From Office,Carbynetech India Pvt Ltd,4.3,27,1,5,10,,,"Data Science,Java,NLTK,R,Elasticsearch,ELK,Scala,Image Recognition",Hyderabad,#NAME?
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Machine Learning,Data Science,R,APICS,NLP,Artificial Intelligence,Data Management,Python",Hyderabad,Job Requirements :- 3+ Years of experience in machine learning and AI analytics.- Exper...
Data Scientist,Work From Office,CARBYNETECH,4.3,27,1,3,8,,,"Python,Predictive Modeling,R,Data Scientist,Data Management,Machine Learning,SQL,Machine",Hyderabad,"- You have at least 2 year experience, ideally within a Statistician role You possess s..."
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Work From Office,UBS India,3.9,1320,1,0,10,,,"rest,python,software development,rdbms,natural language processing,production,microsoft azure,machine learning",Mumbai,Overall Software development experience 8+years Production grade 3+ years work experien...
Data Scientist,Hybrid,Genpact,3.9,27612,4,6,11,,,"Data Science,Predictive Modeling,Decision Tree,Text Analytics,Natural Language Processing,Neural Networks,Text Mining,LLM","Hyderabad, Gurugram, Bengaluru","Furthermore, please do note that Genpact does not charge fees to process job applicatio..."
Data Analyst,Hybrid,Ifood Web Media Technology,3.9,14,5,5,8,,,"Advanced Analytics,Data Analyst,Data Analytics,HLOOKUP,Data Science,Logistic Regression,Decision Tree,VLOOKUP","Hyderabad, Chennai, Bengaluru","Highly proficient in Excel data mining, data crunching and analyzing using advanced fun..."
Data Scientist,Hybrid,Trianz,3.7,375,1,5,8,950000.0,1700000.0,"Data Science,Machine Learning,Tensorflow,GenAI,python,pyspark,Keras,LLM","Hyderabad, Bengaluru","Qualifications: . Educational Background: BE / B Tech / M Tech in Computer Science, Com..."
Data Scientist,Work From Office,Info_test_ehire Campaign,0.0,0,1,5,7,,,"AWS,Data Science,Pyspark,NLP,Data Scientist,Natural Language Processing,Machine Learning,Deep Learning","Hyderabad, Bengaluru","Skill - S rong coding experience in Python, Pyspark, Keras / tensorflow, Machine Learni..."
Data Scientist,Work From Office,Ample Softech System,4.6,51,1,0,5,600000.0,1000000.0,"and data analysis.,Machine Learning,Data Science,Deep Learning,Machine,Data analysis,Data,Science",Pune,"Data Scientist: Required Skills, Roles, and Responsibilities. Required Skills: . Techni..."
Data Scientist,Work From Office,Impelox Tech,0.0,0,1,0,1,,,"Data Science,python,tensorflow,r,data analysis,java,pytorch,machine learning",Chennai,We are seeking a motivated and passionate intern to join our AI/ML engineering team. As...
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Image Recognition,NLP,Data Scientist,Time Series Analysis,Artificial Intelligence,Data Management,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,Leading Client,0.0,0,1,5,10,,,"Data Scientist,NLP,Time Series Analysis,Artificial Intelligence,Data Management,Image Recognition,Distributed Computing,Machine Learning",Hyderabad,#NAME?
Data Scientist,Work From Office,IBM,4.1,20349,1,5,7,,,"python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis",Bengaluru,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Hybrid,Evalueserve,3.4,1068,1,3,8,,,"Data Science,Statistical Modeling,Python,Predictive Modeling,Logistic Regression,Science,Logistics,Statistics","Gurugram, Bengaluru, Mumbai","Preferred candidate profile . Bachelors degree or higher in statistics, mathematics, en..."
Data Scientist,Work From Office,Visa,3.9,284,1,3,7,,,"Computer science,Operations research,Business analytics,Analytical,Predictive modeling,Business solutions,Financial services,Product marketing",Bengaluru,"      To ensure that Visa s payment technology is truly available to everyone, everywhe..."
Data Scientist,Hybrid,Hexaware Technologies,3.6,5100,1,6,10,,,"R,Machine Learning,Python,Data,Machine",Bengaluru,"Required Skills and Qualifications: Bachelors or master s degree in computer science, S..."
Data Scientist,Work From Office,Info Edge,4.0,1798,5,0,3,,,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning",Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...
Data Scientist,Work From Office,IBM,4.1,20349,7,3,7,,,"data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi",Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
